Origin Time:2024/04/05 17:04:57
Lon:121.65¢XE
Lat:24.03¢XN
Depth:29.8km
Mag:4.9
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 100.12,BAZ= 82.03,PGA(V)=   1.15,PGA(NS)=   0.39,PGA(EW)=   0.45,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.03
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 103.52,BAZ=172.72,PGA(V)=   0.63,PGA(NS)=   0.75,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.04
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 107.43,BAZ= 15.51,PGA(V)=   0.60,PGA(NS)=   1.80,PGA(EW)=   1.77,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.09
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 109.62,BAZ= 85.83,PGA(V)=   1.20,PGA(NS)=   1.17,PGA(EW)=   1.07,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.08
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 110.66,BAZ= 64.17,PGA(V)=   0.48,PGA(NS)=   1.69,PGA(EW)=   1.88,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.09
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 111.61,BAZ= 92.67,PGA(V)=   1.03,PGA(NS)=   3.10,PGA(EW)=   3.15,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.05,PGV(SUM)=   0.09
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist= 113.07,BAZ=161.35,PGA(V)=   0.61,PGA(NS)=   0.83,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist= 115.65,BAZ=179.29,PGA(V)=   0.41,PGA(NS)=   0.86,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.03
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 116.96,BAZ= 70.75,PGA(V)=   0.56,PGA(NS)=   1.25,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.06
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 118.97,BAZ= 72.80,PGA(V)=   0.74,PGA(NS)=   0.97,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.08
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 121.97,BAZ= 77.22,PGA(V)=   0.96,PGA(NS)=   1.14,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.08
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist= 122.73,BAZ= 16.96,PGA(V)=   0.70,PGA(NS)=   1.20,PGA(EW)=   1.17,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.06
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 124.53,BAZ= 91.16,PGA(V)=   0.97,PGA(NS)=   1.08,PGA(EW)=   1.13,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.05
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 125.62,BAZ= 58.43,PGA(V)=   0.52,PGA(NS)=   1.34,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.40,PGV(SUM)=   0.08
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 130.69,BAZ= 83.68,PGA(V)=   1.37,PGA(NS)=   1.47,PGA(EW)=   1.81,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.13
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 132.43,BAZ= 65.25,PGA(V)=   0.65,PGA(NS)=   1.26,PGA(EW)=   1.68,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.10
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 134.47,BAZ= 73.50,PGA(V)=   1.14,PGA(NS)=   1.41,PGA(EW)=   1.89,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.09
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 137.98,BAZ= 64.51,PGA(V)=   0.37,PGA(NS)=   0.61,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 140.24,BAZ= 82.25,PGA(V)=   0.70,PGA(NS)=   1.63,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.12
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 147.89,BAZ= 80.16,PGA(V)=   0.88,PGA(NS)=   1.27,PGA(EW)=   0.92,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.13
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 151.62,BAZ= 73.18,PGA(V)=   0.77,PGA(NS)=   3.85,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.25,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.81,PGV(SUM)=   0.26
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 152.64,BAZ= 65.32,PGA(V)=   0.56,PGA(NS)=   1.14,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.05
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 155.98,BAZ= 68.77,PGA(V)=   0.47,PGA(NS)=   0.74,PGA(EW)=   1.01,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.05
