Origin Time:2024/04/24 15:30:53
Lon:121.56°E
Lat:23.80°N
Depth:7.3km
Mag:5.0
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  85.26,BAZ= 91.37,PGA(V)=   0.51,PGA(NS)=   0.80,PGA(EW)=   1.53,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.19
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  86.01,BAZ= 24.21,PGA(V)=   0.55,PGA(NS)=   0.97,PGA(EW)=   0.81,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.08
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  91.93,BAZ=106.70,PGA(V)=   0.65,PGA(NS)=   1.59,PGA(EW)=   1.66,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.06,PGV(SUM)=   0.18
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  92.41,BAZ=180.58,PGA(V)=   0.45,PGA(NS)=   1.04,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.08
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  93.28,BAZ=189.55,PGA(V)=   0.92,PGA(NS)=   1.10,PGA(EW)=   2.69,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.83,PGV(SUM)=   0.17
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  93.35,BAZ= 75.83,PGA(V)=   0.52,PGA(NS)=   2.13,PGA(EW)=   2.36,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.16,PGV(SUM)=   0.28
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  95.80,BAZ= 16.14,PGA(V)=   1.04,PGA(NS)=   2.49,PGA(EW)=   2.54,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.83,PGV(SUM)=   0.12
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  98.45,BAZ=168.22,PGA(V)=   0.45,PGA(NS)=   0.61,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 101.76,BAZ= 99.84,PGA(V)=   0.72,PGA(NS)=   1.89,PGA(EW)=   1.37,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.16
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 102.20,BAZ= 82.58,PGA(V)=   0.53,PGA(NS)=   1.48,PGA(EW)=   1.19,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.15
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 105.38,BAZ=129.94,PGA(V)=   0.29,PGA(NS)=   0.86,PGA(EW)=   0.35,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.07
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 105.94,BAZ= 67.58,PGA(V)=   0.33,PGA(NS)=   1.27,PGA(EW)=   1.05,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.10
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 106.89,BAZ=106.62,PGA(V)=   0.76,PGA(NS)=   1.27,PGA(EW)=   1.76,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.10
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 109.89,BAZ= 89.16,PGA(V)=   0.37,PGA(NS)=   1.16,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.11
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 114.02,BAZ=154.90,PGA(V)=   0.41,PGA(NS)=   0.75,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.08
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 114.84,BAZ=159.88,PGA(V)=   0.37,PGA(NS)=   1.14,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.09
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 115.18,BAZ= 74.86,PGA(V)=   0.67,PGA(NS)=   0.66,PGA(EW)=   0.88,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.09
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 118.77,BAZ=103.57,PGA(V)=   0.63,PGA(NS)=   2.01,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.15
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 120.38,BAZ= 73.58,PGA(V)=   0.29,PGA(NS)=   1.35,PGA(EW)=   0.69,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.13
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 121.34,BAZ= 95.19,PGA(V)=   0.48,PGA(NS)=   1.67,PGA(EW)=   1.50,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.14
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 127.57,BAZ= 66.96,PGA(V)=   0.35,PGA(NS)=   0.85,PGA(EW)=   0.90,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.12
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 130.07,BAZ= 92.84,PGA(V)=   0.39,PGA(NS)=   1.91,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.19,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.19
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 134.96,BAZ=176.13,PGA(V)=   0.44,PGA(NS)=   0.78,PGA(EW)=   0.63,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.09
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 135.20,BAZ= 73.51,PGA(V)=   0.34,PGA(NS)=   0.80,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 137.34,BAZ= 82.25,PGA(V)=   0.27,PGA(NS)=   0.89,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.08
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 139.85,BAZ= 77.15,PGA(V)=   0.27,PGA(NS)=   1.02,PGA(EW)=   1.42,PGV(V)=   0.01,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.11
