Origin Time:2024/04/07 18:01:22
Lon:121.97°E
Lat:24.16°N
Depth:41.7km
Mag:5.6
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 101.05,BAZ=121.10,PGA(V)=   1.06,PGA(NS)=   1.40,PGA(EW)=   1.91,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.04,PGV(SUM)=   0.12
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist= 104.35,BAZ= 80.95,PGA(V)=   0.84,PGA(NS)=   0.82,PGA(EW)=   0.89,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.13
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 104.91,BAZ= 97.10,PGA(V)=   1.39,PGA(NS)=   2.88,PGA(EW)=   2.20,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.47,PGV(SUM)=   0.27
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 105.29,BAZ=144.97,PGA(V)=   1.38,PGA(NS)=   2.08,PGA(EW)=   2.13,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.23
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 105.66,BAZ=130.25,PGA(V)=   1.79,PGA(NS)=   4.03,PGA(EW)=   3.40,PGV(V)=   0.10,PGV(NS)=   0.24,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.38,PGV(SUM)=   0.24
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 105.98,BAZ=139.13,PGA(V)=   0.99,PGA(NS)=   2.71,PGA(EW)=   1.46,PGV(V)=   0.13,PGV(NS)=   0.30,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.92,PGV(SUM)=   0.33
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 106.82,BAZ=161.74,PGA(V)=   1.86,PGA(NS)=   4.44,PGA(EW)=   5.11,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   5.54,PGV(SUM)=   0.25
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist= 107.47,BAZ= 29.53,PGA(V)=   0.67,PGA(NS)=   1.32,PGA(EW)=   1.29,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.11
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 107.55,BAZ=152.15,PGA(V)=   2.21,PGA(NS)=   3.08,PGA(EW)=   2.36,PGV(V)=   0.13,PGV(NS)=   0.27,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.51,PGV(SUM)=   0.32
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 107.59,BAZ=154.53,PGA(V)=   1.49,PGA(NS)=   2.15,PGA(EW)=   2.36,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.29,Int= 1級,PGA(SUM)=   2.42,PGV(SUM)=   0.31
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 108.28,BAZ= 83.89,PGA(V)=   0.50,PGA(NS)=   0.87,PGA(EW)=   1.02,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.09
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 109.85,BAZ=125.44,PGA(V)=   1.64,PGA(NS)=   5.05,PGA(EW)=   4.25,PGV(V)=   0.11,PGV(NS)=   0.29,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.93,PGV(SUM)=   0.30
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 110.54,BAZ=118.03,PGA(V)=   1.26,PGA(NS)=   4.11,PGA(EW)=   2.79,PGV(V)=   0.08,PGV(NS)=   0.30,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.65,PGV(SUM)=   0.33
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 110.78,BAZ=119.08,PGA(V)=   1.29,PGA(NS)=   2.59,PGA(EW)=   2.36,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.98,PGV(SUM)=   0.18
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist= 111.33,BAZ=169.65,PGA(V)=   0.79,PGA(NS)=   0.74,PGA(EW)=   1.29,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.11
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 115.27,BAZ=143.73,PGA(V)=   0.99,PGA(NS)=   2.15,PGA(EW)=   2.19,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.49,PGV(SUM)=   0.15
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 118.02,BAZ=151.99,PGA(V)=   0.95,PGA(NS)=   1.39,PGA(EW)=   1.48,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.15
