Origin Time:2024/09/07 05:28:03
Lon:121.75°E
Lat:24.28°N
Depth:54.2km
Mag:4.9
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist=  96.18,BAZ=160.15,PGA(V)=   0.61,PGA(NS)=   0.95,PGA(EW)=   1.18,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  96.20,BAZ= 62.33,PGA(V)=   0.38,PGA(NS)=   0.40,PGA(EW)=   0.80,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  96.31,BAZ= 26.11,PGA(V)=   0.65,PGA(NS)=   1.36,PGA(EW)=   1.54,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.03
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  99.16,BAZ=116.46,PGA(V)=   0.42,PGA(NS)=   0.99,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.03
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 101.97,BAZ=162.87,PGA(V)=   0.57,PGA(NS)=   0.94,PGA(EW)=   1.08,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.03
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 106.76,BAZ=138.52,PGA(V)=   0.33,PGA(NS)=   1.06,PGA(EW)=   1.15,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.03
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 109.70,BAZ= 75.82,PGA(V)=   0.49,PGA(NS)=   1.03,PGA(EW)=   0.83,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.03
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 111.82,BAZ= 54.34,PGA(V)=   1.09,PGA(NS)=   2.08,PGA(EW)=   1.90,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.91,PGV(SUM)=   0.05
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 115.55,BAZ= 63.67,PGA(V)=   0.51,PGA(NS)=   0.97,PGA(EW)=   0.70,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.05
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 116.28,BAZ= 67.13,PGA(V)=   0.74,PGA(NS)=   1.15,PGA(EW)=   1.16,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.03
