Origin Time:2024/05/10 09:35:39
Lon:121.59¢XE
Lat:23.71¢XN
Depth:8.2km
Mag:5.2
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  83.19,BAZ=165.10,PGA(V)=   0.82,PGA(NS)=   1.54,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.12
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  83.43,BAZ=193.15,PGA(V)=   0.82,PGA(NS)=   1.28,PGA(EW)=   1.26,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.10
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  86.97,BAZ= 19.77,PGA(V)=   1.16,PGA(NS)=   3.35,PGA(EW)=   3.46,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.39,PGV(SUM)=   0.21
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  88.88,BAZ= 97.91,PGA(V)=   1.09,PGA(NS)=   1.38,PGA(EW)=   1.84,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   1.85,PGV(SUM)=   0.18
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  93.43,BAZ=101.29,PGA(V)=   0.50,PGA(NS)=   0.62,PGA(EW)=   1.25,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.25,PGV(SUM)=   0.09
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  94.17,BAZ= 82.27,PGA(V)=   1.04,PGA(NS)=   1.64,PGA(EW)=   2.11,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.17
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  97.95,BAZ=111.94,PGA(V)=   0.60,PGA(NS)=   0.85,PGA(EW)=   1.16,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.09
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 101.65,BAZ= 54.56,PGA(V)=   0.37,PGA(NS)=   0.64,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.04
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 104.20,BAZ= 88.35,PGA(V)=   0.60,PGA(NS)=   1.45,PGA(EW)=   1.88,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.17
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 105.17,BAZ= 73.30,PGA(V)=   1.06,PGA(NS)=   2.34,PGA(EW)=   2.23,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.16
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 106.69,BAZ=104.98,PGA(V)=   0.85,PGA(NS)=   1.34,PGA(EW)=   1.60,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.19
