Origin Time:2024/06/02 09:27:24
Lon:121.59°E
Lat:23.80°N
Depth:7.1km
Mag:4.9
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  92.91,BAZ=187.94,PGA(V)=   0.51,PGA(NS)=   1.57,PGA(EW)=   1.49,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.11
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  94.48,BAZ=106.26,PGA(V)=   0.54,PGA(NS)=   1.19,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.12
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 101.77,BAZ=185.29,PGA(V)=   0.20,PGA(NS)=   0.45,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 104.38,BAZ= 99.61,PGA(V)=   0.62,PGA(NS)=   1.26,PGA(EW)=   1.18,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.11
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 107.67,BAZ= 84.79,PGA(V)=   0.88,PGA(NS)=   0.94,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.12
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 109.44,BAZ=106.24,PGA(V)=   0.62,PGA(NS)=   1.04,PGA(EW)=   1.71,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.09
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 115.19,BAZ=153.72,PGA(V)=   0.68,PGA(NS)=   1.16,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.08
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 115.81,BAZ=158.66,PGA(V)=   0.46,PGA(NS)=   1.86,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.13
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 121.36,BAZ=103.30,PGA(V)=   0.43,PGA(NS)=   1.03,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.10
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 123.19,BAZ= 84.04,PGA(V)=   0.28,PGA(NS)=   0.80,PGA(EW)=   0.65,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.11
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 123.98,BAZ= 95.10,PGA(V)=   0.55,PGA(NS)=   1.28,PGA(EW)=   1.07,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.10
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 139.32,BAZ= 90.06,PGA(V)=   0.37,PGA(NS)=   1.20,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.08
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 141.81,BAZ=187.85,PGA(V)=   0.22,PGA(NS)=   0.82,PGA(EW)=   0.64,PGV(V)=   0.01,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.09
