Origin Time:2024/04/23 05:19:43
Lon:121.54°E
Lat:23.76°N
Depth:5.8km
Mag:5.7
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  78.80,BAZ= 69.52,PGA(V)=   1.51,PGA(NS)=   4.08,PGA(EW)=   2.85,PGV(V)=   0.18,PGV(NS)=   0.41,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   4.33,PGV(SUM)=   0.44
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  80.02,BAZ=197.85,PGA(V)=   3.21,PGA(NS)=   4.81,PGA(EW)=   4.39,PGV(V)=   0.18,PGV(NS)=   0.33,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   4.99,PGV(SUM)=   0.36
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  80.20,BAZ= 23.89,PGA(V)=   2.21,PGA(NS)=   3.52,PGA(EW)=   3.35,PGV(V)=   0.59,PGV(NS)=   0.64,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   3.77,PGV(SUM)=   0.80
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  81.99,BAZ= 39.62,PGA(V)=   1.72,PGA(NS)=   2.25,PGA(EW)=   2.09,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.17
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.76,BAZ= 94.96,PGA(V)=   2.42,PGA(NS)=   2.13,PGA(EW)=   6.18,PGV(V)=   0.29,PGV(NS)=   0.21,PGV(EW)=   0.92,Int= 2級,PGA(SUM)=   6.32,PGV(SUM)=   0.94
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  83.30,BAZ=133.78,PGA(V)=   1.09,PGA(NS)=   2.43,PGA(EW)=   2.17,PGV(V)=   0.18,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   2.49,PGV(SUM)=   0.26
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  87.05,BAZ= 98.73,PGA(V)=   1.34,PGA(NS)=   2.36,PGA(EW)=   1.88,PGV(V)=   0.23,PGV(NS)=   0.17,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   2.99,PGV(SUM)=   0.32
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  88.84,BAZ=100.76,PGA(V)=   1.73,PGA(NS)=   1.58,PGA(EW)=   2.30,PGV(V)=   0.29,PGV(NS)=   0.20,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.31
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  89.50,BAZ= 78.57,PGA(V)=   1.72,PGA(NS)=   5.34,PGA(EW)=   5.75,PGV(V)=   0.25,PGV(NS)=   0.49,PGV(EW)=   0.42,Int= 2級,PGA(SUM)=   6.35,PGV(SUM)=   0.55
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  90.12,BAZ= 15.33,PGA(V)=   2.14,PGA(NS)=   5.14,PGA(EW)=   4.50,PGV(V)=   0.16,PGV(NS)=   0.34,PGV(EW)=   0.33,Int= 2級,PGA(SUM)=   6.06,PGV(SUM)=   0.36
