Origin Time:2020/05/25 06:31:30
Lon:121.95°E
Lat:24.36°N
Depth:23.8km
Mag:5.2
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist=  84.81,AZ=152.69,PGA(V)=   3.54,PGA(NS)=   2.44,PGA(EW)=   4.04,PGV(V)=   0.15,PGV(NS)=   0.17,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   3.66,PGV(SUM)=   0.27
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist=  87.37,AZ=149.36,PGA(V)=   0.63,PGA(NS)=   1.81,PGA(EW)=   2.09,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.33,PGV(SUM)=   0.19
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist=  87.68,AZ=143.77,PGA(V)=   1.50,PGA(NS)=   3.12,PGA(EW)=   3.03,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.20,PGV(SUM)=   0.22
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist=  89.42,AZ=168.22,PGA(V)=   0.95,PGA(NS)=   1.19,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.11
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  91.36,AZ=120.42,PGA(V)=   1.02,PGA(NS)=   2.98,PGA(EW)=   2.98,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   3.24,PGV(SUM)=   0.25
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  97.13,AZ=115.45,PGA(V)=   1.16,PGA(NS)=   3.36,PGA(EW)=   3.06,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.41,PGV(SUM)=   0.14
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  97.19,AZ=136.90,PGA(V)=   0.72,PGA(NS)=   2.21,PGA(EW)=   2.20,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.16
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist=  98.07,AZ=162.37,PGA(V)=   0.48,PGA(NS)=   1.60,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.07
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist=  98.19,AZ=146.87,PGA(V)=   0.76,PGA(NS)=   1.09,PGA(EW)=   1.08,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.07
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 100.23,AZ=108.55,PGA(V)=   0.63,PGA(NS)=   1.01,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.06
