Origin Time:2018/02/06 23:50:41
Lon:121.73°E
Lat:24.10°N
Depth:6.3km
Mag:6.2
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist= 112.32,AZ=103.26,PGA(V)=   3.05,PGA(NS)=   5.32,PGA(EW)=   5.26
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 114.11,AZ= 54.91,PGA(V)=   3.41,PGA(NS)=   7.18,PGA(EW)=   8.85
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 115.12,AZ=164.37,PGA(V)=   3.35,PGA(NS)=   5.26,PGA(EW)=   2.93
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist= 116.23,AZ=182.17,PGA(V)=   1.97,PGA(NS)=   4.01,PGA(EW)=   3.29
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 116.90,AZ= 18.15,PGA(V)=   4.07,PGA(NS)=  10.29,PGA(EW)=   9.09
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 117.62,AZ= 74.17,PGA(V)=   4.31,PGA(NS)=   7.18,PGA(EW)=   9.03
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 117.97,AZ= 82.44,PGA(V)=   6.76,PGA(NS)=  14.24,PGA(EW)=  13.52
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 119.26,AZ= 88.99,PGA(V)=   5.62,PGA(NS)=  10.83,PGA(EW)=  11.78
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 119.28,AZ= 91.81,PGA(V)=   3.71,PGA(NS)=   9.93,PGA(EW)=  11.78
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 120.82,AZ= 62.52,PGA(V)=   8.91,PGA(NS)=  20.10,PGA(EW)=  34.69
Stacode=ANP ,Staname=陽明山,Stalon=121.53,Stalat=25.18,Dist= 121.56,AZ=170.39,PGA(V)=   1.26,PGA(NS)=   3.05,PGA(EW)=   2.09
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist= 122.28,AZ=176.70,PGA(V)=   1.32,PGA(NS)=   4.37,PGA(EW)=   3.23
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 122.93,AZ= 25.07,PGA(V)=   5.26,PGA(NS)=  15.49,PGA(EW)=  11.07
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 124.11,AZ= 35.38,PGA(V)=   2.21,PGA(NS)=   4.31,PGA(EW)=   3.53
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 126.73,AZ= 68.67,PGA(V)=   4.97,PGA(NS)=  11.49,PGA(EW)=  11.72
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 128.58,AZ= 70.60,PGA(V)=   4.31,PGA(NS)=  19.86,PGA(EW)=  12.38
Stacode=NSM ,Staname=石門  ,Stalon=121.59,Stalat=25.29,Dist= 132.27,AZ=173.80,PGA(V)=   1.85,PGA(NS)=   2.69,PGA(EW)=   2.51
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 132.34,AZ= 19.13,PGA(V)=   1.62,PGA(NS)=   3.89,PGA(EW)=   4.49
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 142.46,AZ= 54.37,PGA(V)=   4.25,PGA(NS)=  11.43,PGA(EW)=   8.31
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist= 143.20,AZ= 43.37,PGA(V)=   2.15,PGA(NS)=   2.75,PGA(EW)=   2.99
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 147.53,AZ= 49.96,PGA(V)=   2.45,PGA(NS)=   3.71,PGA(EW)=   3.11
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 148.16,AZ= 63.13,PGA(V)=   3.95,PGA(NS)=  12.56,PGA(EW)=  12.62
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 148.97,AZ= 79.76,PGA(V)=   2.21,PGA(NS)=   9.27,PGA(EW)=   7.30
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist= 152.10,AZ= 25.37,PGA(V)=   1.20,PGA(NS)=   2.93,PGA(EW)=   2.81
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 155.75,AZ= 53.48,PGA(V)=   2.99,PGA(NS)=   3.59,PGA(EW)=   4.91
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist= 156.82,AZ= 25.04,PGA(V)=   0.84,PGA(NS)=   1.79,PGA(EW)=   1.85
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 159.06,AZ= 50.39,PGA(V)=   2.27,PGA(NS)=   2.81,PGA(EW)=   3.41
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist= 160.30,AZ=  9.56,PGA(V)=   0.60,PGA(NS)=   1.14,PGA(EW)=   1.08
