Origin Time:2018/02/22 07:10:41
Lon:121.53°E
Lat:23.41°N
Depth:35.6km
Mag:5.6
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 150.97,AZ= 78.74,PGA(V)=   0.54,PGA(NS)=   1.74,PGA(EW)=   1.97
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 151.28,AZ=188.60,PGA(V)=   1.50,PGA(NS)=   2.03,PGA(EW)=   1.91
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 152.36,AZ=359.05,PGA(V)=   1.02,PGA(NS)=   4.07,PGA(EW)=   2.87
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 153.35,AZ=162.82,PGA(V)=   1.38,PGA(NS)=   5.56,PGA(EW)=   5.32
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 156.06,AZ=154.39,PGA(V)=   1.26,PGA(NS)=   2.57,PGA(EW)=   3.65
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist= 156.14,AZ= 53.09,PGA(V)=   0.90,PGA(NS)=   1.50,PGA(EW)=   1.32
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 160.06,AZ=160.89,PGA(V)=   0.84,PGA(NS)=   1.79,PGA(EW)=   1.50
Stacode=NHD ,Staname=新店  ,Stalon=121.55,Stalat=24.90,Dist= 164.96,AZ=180.69,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   1.02
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 165.40,AZ=161.38,PGA(V)=   1.20,PGA(NS)=   1.79,PGA(EW)=   1.68
Stacode=NPL ,Staname=坪林  ,Stalon=121.71,Stalat=24.94,Dist= 169.91,AZ=186.13,PGA(V)=   0.36,PGA(NS)=   0.84,PGA(EW)=   0.72
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 175.56,AZ=168.68,PGA(V)=   0.66,PGA(NS)=   1.14,PGA(EW)=   1.02
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 175.74,AZ=176.96,PGA(V)=   1.14,PGA(NS)=   1.79,PGA(EW)=   2.27
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 175.79,AZ= 27.40,PGA(V)=   0.48,PGA(NS)=   1.08,PGA(EW)=   1.44
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 179.92,AZ=179.36,PGA(V)=   1.02,PGA(NS)=   0.96,PGA(EW)=   0.84
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 180.33,AZ=181.15,PGA(V)=   1.44,PGA(NS)=   1.50,PGA(EW)=   1.32
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 181.39,AZ= 22.60,PGA(V)=   0.48,PGA(NS)=   0.78,PGA(EW)=   0.96
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 187.35,AZ=176.57,PGA(V)=   0.48,PGA(NS)=   0.84,PGA(EW)=   0.72
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist= 198.65,AZ=183.71,PGA(V)=   0.24,PGA(NS)=   1.08,PGA(EW)=   0.84
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 201.93,AZ= 94.78,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   1.14
