Origin Time:2025/01/30 10:15:22
Lon:120.59¢XE
Lat:23.27¢XN
Depth:11.2km
Mag:4.4
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  68.33,BAZ=188.46,PGA(V)=   1.17,PGA(NS)=   4.97,PGA(EW)=   2.49,PGV(V)=   0.01,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   4.54,PGV(SUM)=   0.12
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  70.60,BAZ=147.57,PGA(V)=   2.44,PGA(NS)=   4.08,PGA(EW)=   1.90,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.10,PGV(SUM)=   0.12
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  71.51,BAZ=187.07,PGA(V)=   0.91,PGA(NS)=   0.67,PGA(EW)=   0.66,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.03
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  72.01,BAZ=275.96,PGA(V)=   0.42,PGA(NS)=   1.30,PGA(EW)=   0.69,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.04
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  72.91,BAZ=154.74,PGA(V)=   0.80,PGA(NS)=   2.14,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.04
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  73.83,BAZ=162.63,PGA(V)=   2.21,PGA(NS)=   2.81,PGA(EW)=   3.04,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.04,PGV(SUM)=   0.12
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  76.89,BAZ=178.93,PGA(V)=   2.47,PGA(NS)=   3.16,PGA(EW)=   3.71,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.70,PGV(SUM)=   0.16
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  86.58,BAZ=187.14,PGA(V)=   1.11,PGA(NS)=   2.37,PGA(EW)=   1.84,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.09
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  88.95,BAZ=169.18,PGA(V)=   1.14,PGA(NS)=   2.20,PGA(EW)=   1.91,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.02,PGV(SUM)=   0.09
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  90.13,BAZ=177.68,PGA(V)=   2.03,PGA(NS)=   5.06,PGA(EW)=   5.27,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.91,PGV(SUM)=   0.12
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 109.91,BAZ=176.25,PGA(V)=   1.36,PGA(NS)=   1.35,PGA(EW)=   1.63,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.07
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 121.14,BAZ=189.04,PGA(V)=   0.45,PGA(NS)=   0.93,PGA(EW)=   0.64,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.03
