Origin Time:2022/09/21 09:13:44
Lon:121.15¢XE
Lat:23.07¢XN
Depth:14.1km
Mag:4.7
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  93.79,AZ=268.00,PGA(V)=   0.34,PGA(NS)=   1.02,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.07
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  95.18,AZ=318.87,PGA(V)=   0.47,PGA(NS)=   1.23,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.09
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  97.95,AZ=276.88,PGA(V)=   0.53,PGA(NS)=   1.12,PGA(EW)=   1.02,PGV(V)=   0.01,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.09
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist=  98.11,AZ=265.32,PGA(V)=   0.72,PGA(NS)=   1.15,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.08
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  99.96,AZ=288.07,PGA(V)=   0.46,PGA(NS)=   1.07,PGA(EW)=   2.04,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.98,PGV(SUM)=   0.11
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 103.89,AZ=311.38,PGA(V)=   0.38,PGA(NS)=   0.99,PGA(EW)=   1.16,PGV(V)=   0.01,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.10
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 107.05,AZ=298.09,PGA(V)=   0.36,PGA(NS)=   1.85,PGA(EW)=   1.19,PGV(V)=   0.01,PGV(NS)=   0.11,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.11
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 109.40,AZ=274.60,PGA(V)=   0.40,PGA(NS)=   2.33,PGA(EW)=   1.53,PGV(V)=   0.01,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.27,PGV(SUM)=   0.17
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 113.33,AZ=303.78,PGA(V)=   0.38,PGA(NS)=   1.46,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.10
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 121.51,AZ=159.86,PGA(V)=   0.31,PGA(NS)=   0.96,PGA(EW)=   0.70,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.03
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 125.09,AZ=310.70,PGA(V)=   0.50,PGA(NS)=   0.59,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.05
