Origin Time:2025/01/25 06:01:57
Lon:120.50¢XE
Lat:23.17¢XN
Depth:15.2km
Mag:5.1
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  84.06,BAZ=192.48,PGA(V)=   1.96,PGA(NS)=   1.22,PGA(EW)=   1.94,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.00,PGV(SUM)=   0.08
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  84.88,BAZ=284.62,PGA(V)=   0.95,PGA(NS)=   1.40,PGA(EW)=   1.10,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.10
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  85.94,BAZ=256.50,PGA(V)=   0.90,PGA(NS)=   1.61,PGA(EW)=   1.43,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.10
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  88.35,BAZ=185.14,PGA(V)=   4.45,PGA(NS)=   3.28,PGA(EW)=   4.44,PGV(V)=   0.14,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   5.24,PGV(SUM)=   0.16
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  89.40,BAZ=207.62,PGA(V)=   1.13,PGA(NS)=   2.66,PGA(EW)=   2.11,PGV(V)=   0.05,PGV(NS)=   0.23,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.32,PGV(SUM)=   0.23
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  89.49,BAZ=274.84,PGA(V)=   0.62,PGA(NS)=   1.30,PGA(EW)=   1.05,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.08
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  90.03,BAZ=204.63,PGA(V)=   0.62,PGA(NS)=   1.12,PGA(EW)=   1.63,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.10
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  92.52,BAZ=246.15,PGA(V)=   0.83,PGA(NS)=   1.37,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.07
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  98.51,BAZ=260.27,PGA(V)=   1.07,PGA(NS)=   1.03,PGA(EW)=   1.25,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.12
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  98.75,BAZ=175.73,PGA(V)=   4.03,PGA(NS)=   4.52,PGA(EW)=   4.60,PGV(V)=   0.12,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.27,PGV(SUM)=   0.20
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  99.08,BAZ=191.72,PGA(V)=   2.29,PGA(NS)=   7.43,PGA(EW)=   4.16,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   6.72,PGV(SUM)=   0.20
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 101.33,BAZ=183.22,PGA(V)=   6.62,PGA(NS)=  11.25,PGA(EW)=  12.45,PGV(V)=   0.15,PGV(NS)=   0.23,PGV(EW)=   0.28,Int= 3¯Å,PGA(SUM)=  12.07,PGV(SUM)=   0.31
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist= 104.61,BAZ=206.35,PGA(V)=   0.87,PGA(NS)=   0.99,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.04
Stacode=PNG ,Staname=°¨¤½¥«,Stalon=119.56,Stalat=23.57,Dist= 105.66,BAZ=114.74,PGA(V)=   0.72,PGA(NS)=   2.35,PGA(EW)=   2.35,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.00,PGV(SUM)=   0.08
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist= 107.11,BAZ=202.95,PGA(V)=   0.72,PGA(NS)=   1.68,PGA(EW)=   1.91,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.11,PGV(SUM)=   0.08
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist= 109.73,BAZ=239.50,PGA(V)=   0.55,PGA(NS)=   1.44,PGA(EW)=   1.40,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.10
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 110.06,BAZ=189.70,PGA(V)=   0.85,PGA(NS)=   1.76,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.71,PGV(SUM)=   0.06
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist= 111.14,BAZ=218.21,PGA(V)=   1.49,PGA(NS)=   1.89,PGA(EW)=   1.73,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.07
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist= 119.67,BAZ=233.29,PGA(V)=   0.48,PGA(NS)=   0.83,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.06
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 120.80,BAZ=181.02,PGA(V)=   3.30,PGA(NS)=   3.09,PGA(EW)=   7.76,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   7.97,PGV(SUM)=   0.25
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist= 122.50,BAZ=240.67,PGA(V)=   0.24,PGA(NS)=   0.83,PGA(EW)=   0.58,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 131.16,BAZ=200.16,PGA(V)=   0.64,PGA(NS)=   0.89,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.05
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 131.64,BAZ=186.13,PGA(V)=   1.55,PGA(NS)=   2.26,PGA(EW)=   2.71,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.14
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist= 133.75,BAZ=215.97,PGA(V)=   0.58,PGA(NS)=   1.19,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.07
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 133.79,BAZ=192.25,PGA(V)=   1.44,PGA(NS)=   1.90,PGA(EW)=   2.25,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.71,PGV(SUM)=   0.12
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist= 134.42,BAZ=228.77,PGA(V)=   0.45,PGA(NS)=   0.82,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.07
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist= 137.55,BAZ=209.26,PGA(V)=   0.60,PGA(NS)=   1.69,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.07
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 138.82,BAZ=233.96,PGA(V)=   0.41,PGA(NS)=   0.86,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.64,PGV(SUM)=   0.10
