Origin Time:2024/04/03 16:17:12
Lon:121.63°E
Lat:24.03°N
Depth:23.6km
Mag:4.9
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  93.28,BAZ=111.93,PGA(V)=   0.61,PGA(NS)=   0.48,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.06
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  94.67,BAZ=150.66,PGA(V)=   0.40,PGA(NS)=   1.00,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.08
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  94.92,BAZ= 90.67,PGA(V)=   0.56,PGA(NS)=   1.39,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.07
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  95.53,BAZ=144.67,PGA(V)=   0.62,PGA(NS)=   0.94,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.06
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  97.22,BAZ= 79.80,PGA(V)=   0.45,PGA(NS)=   0.71,PGA(EW)=   0.63,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.04
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  97.34,BAZ=115.79,PGA(V)=   0.29,PGA(NS)=   0.89,PGA(EW)=   0.45,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.07
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  98.54,BAZ= 20.54,PGA(V)=   0.43,PGA(NS)=   0.65,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.06
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 100.95,BAZ=125.78,PGA(V)=   0.78,PGA(NS)=   1.62,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.12
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 105.79,BAZ=133.02,PGA(V)=   0.72,PGA(NS)=   1.47,PGA(EW)=   2.69,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.16
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 106.80,BAZ= 14.36,PGA(V)=   0.43,PGA(NS)=   0.85,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.06
