Origin Time:2024/04/22 17:08:39
Lon:121.54¢XE
Lat:23.76¢XN
Depth:10.3km
Mag:5.6
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  80.16,BAZ= 24.18,PGA(V)=   1.39,PGA(NS)=   2.23,PGA(EW)=   2.23,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   2.75,PGV(SUM)=   0.20
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  82.06,BAZ= 39.91,PGA(V)=   1.13,PGA(NS)=   1.43,PGA(EW)=   1.44,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.81,PGV(SUM)=   0.07
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  83.13,BAZ= 95.07,PGA(V)=   1.83,PGA(NS)=   2.95,PGA(EW)=   3.62,PGV(V)=   0.18,PGV(NS)=   0.27,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   4.18,PGV(SUM)=   0.45
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  83.69,BAZ=133.71,PGA(V)=   1.25,PGA(NS)=   2.39,PGA(EW)=   1.72,PGV(V)=   0.11,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.59,PGV(SUM)=   0.23
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  87.43,BAZ= 98.82,PGA(V)=   0.87,PGA(NS)=   1.57,PGA(EW)=   1.82,PGV(V)=   0.13,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.17,PGV(SUM)=   0.22
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  89.23,BAZ=100.85,PGA(V)=   1.47,PGA(NS)=   1.92,PGA(EW)=   1.98,PGV(V)=   0.12,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.11,PGV(SUM)=   0.22
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  89.81,BAZ= 78.74,PGA(V)=   1.65,PGA(NS)=   2.48,PGA(EW)=   4.41,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.66,PGV(SUM)=   0.27
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  90.02,BAZ= 15.58,PGA(V)=   3.26,PGA(NS)=   4.74,PGA(EW)=   7.29,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   7.81,PGV(SUM)=   0.40
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  91.32,BAZ=110.33,PGA(V)=   1.56,PGA(NS)=   3.18,PGA(EW)=   2.98,PGV(V)=   0.22,PGV(NS)=   0.28,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.53,PGV(SUM)=   0.32
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  93.85,BAZ=178.28,PGA(V)=   1.22,PGA(NS)=   1.85,PGA(EW)=   2.63,PGV(V)=   0.15,PGV(NS)=   0.15,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   2.83,PGV(SUM)=   0.24
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  97.28,BAZ=116.37,PGA(V)=   0.77,PGA(NS)=   1.59,PGA(EW)=   1.32,PGV(V)=   0.16,PGV(NS)=   0.18,PGV(EW)=   0.26,Int= 1¯Å,PGA(SUM)=   1.64,PGV(SUM)=   0.27
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  97.78,BAZ=181.98,PGA(V)=   1.56,PGA(NS)=   6.06,PGA(EW)=   4.82,PGV(V)=   0.15,PGV(NS)=   0.56,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   5.75,PGV(SUM)=   0.58
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  98.94,BAZ=190.43,PGA(V)=   3.36,PGA(NS)=   5.00,PGA(EW)=   5.76,PGV(V)=   0.21,PGV(NS)=   0.48,PGV(EW)=   0.56,Int= 2¯Å,PGA(SUM)=   5.91,PGV(SUM)=   0.58
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  99.23,BAZ= 85.45,PGA(V)=   1.56,PGA(NS)=   3.86,PGA(EW)=   2.92,PGV(V)=   0.16,PGV(NS)=   0.36,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.16,PGV(SUM)=   0.41
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  99.87,BAZ=198.97,PGA(V)=   1.06,PGA(NS)=   0.86,PGA(EW)=   1.97,PGV(V)=   0.14,PGV(NS)=   0.07,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.02,PGV(SUM)=   0.17
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 100.44,BAZ=103.07,PGA(V)=   1.65,PGA(NS)=   3.43,PGA(EW)=   2.81,PGV(V)=   0.20,PGV(NS)=   0.37,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   3.72,PGV(SUM)=   0.46
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 100.45,BAZ= 50.56,PGA(V)=   0.53,PGA(NS)=   0.74,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 101.25,BAZ=130.28,PGA(V)=   1.25,PGA(NS)=   2.21,PGA(EW)=   2.44,PGV(V)=   0.13,PGV(NS)=   0.20,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.07,PGV(SUM)=   0.26
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 101.74,BAZ= 69.82,PGA(V)=   1.23,PGA(NS)=   3.19,PGA(EW)=   2.55,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.56,PGV(SUM)=   0.25
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 102.25,BAZ= 87.48,PGA(V)=   1.29,PGA(NS)=   5.37,PGA(EW)=   2.63,PGV(V)=   0.13,PGV(NS)=   0.51,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.97,PGV(SUM)=   0.53
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 102.99,BAZ= 24.06,PGA(V)=   0.50,PGA(NS)=   0.66,PGA(EW)=   0.90,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.08
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist= 103.22,BAZ=170.15,PGA(V)=   1.22,PGA(NS)=   2.90,PGA(EW)=   3.42,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.38,Int= 2¯Å,PGA(SUM)=   4.06,PGV(SUM)=   0.38
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 106.14,BAZ=156.14,PGA(V)=   0.96,PGA(NS)=   1.26,PGA(EW)=   1.05,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.13
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 106.25,BAZ=109.74,PGA(V)=   2.54,PGA(NS)=   4.65,PGA(EW)=   4.52,PGV(V)=   0.14,PGV(NS)=   0.24,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   4.47,PGV(SUM)=   0.29
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 107.09,BAZ=132.96,PGA(V)=   1.30,PGA(NS)=   1.55,PGA(EW)=   1.37,PGV(V)=   0.16,PGV(NS)=   0.22,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.23
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 107.51,BAZ= 91.97,PGA(V)=   1.15,PGA(NS)=   3.14,PGA(EW)=   2.99,PGV(V)=   0.13,PGV(NS)=   0.36,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   4.08,PGV(SUM)=   0.36
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist= 107.59,BAZ=187.72,PGA(V)=   1.66,PGA(NS)=   2.52,PGA(EW)=   4.19,PGV(V)=   0.24,PGV(NS)=   0.32,PGV(EW)=   0.51,Int= 2¯Å,PGA(SUM)=   4.42,PGV(SUM)=   0.55
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 109.57,BAZ= 58.85,PGA(V)=   0.48,PGA(NS)=   0.85,PGA(EW)=   0.84,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.07
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 110.86,BAZ=150.84,PGA(V)=   1.22,PGA(NS)=   1.57,PGA(EW)=   3.79,PGV(V)=   0.13,PGV(NS)=   0.14,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.87,PGV(SUM)=   0.26
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 111.54,BAZ= 77.17,PGA(V)=   1.28,PGA(NS)=   2.54,PGA(EW)=   2.86,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.11,PGV(SUM)=   0.20
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 112.16,BAZ=151.66,PGA(V)=   1.01,PGA(NS)=   1.85,PGA(EW)=   1.23,PGV(V)=   0.13,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.97,PGV(SUM)=   0.15
