Origin Time:2022/10/10 20:17:51
Lon:121.53¢XE
Lat:23.61¢XN
Depth:31.2km
Mag:5.3
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  82.47,AZ= 14.72,PGA(V)=   1.60,PGA(NS)=   1.81,PGA(EW)=   1.64,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.26,PGV(SUM)=   0.11
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  87.34,AZ=269.14,PGA(V)=   1.44,PGA(NS)=   3.71,PGA(EW)=   4.30,PGV(V)=   0.11,PGV(NS)=   0.41,PGV(EW)=   0.39,Int= 2¯Å,PGA(SUM)=   5.13,PGV(SUM)=   0.44
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  88.10,AZ=207.94,PGA(V)=   0.94,PGA(NS)=   2.18,PGA(EW)=   2.05,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.17,PGV(SUM)=   0.21
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  90.42,AZ=238.24,PGA(V)=   1.31,PGA(NS)=   2.06,PGA(EW)=   2.53,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.54,PGV(SUM)=   0.13
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  90.69,AZ=289.07,PGA(V)=   1.24,PGA(NS)=   2.09,PGA(EW)=   1.91,PGV(V)=   0.11,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.00,PGV(SUM)=   0.15
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  93.02,AZ=350.44,PGA(V)=   0.79,PGA(NS)=   1.94,PGA(EW)=   1.64,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.08
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  93.03,AZ=290.75,PGA(V)=   1.36,PGA(NS)=   1.21,PGA(EW)=   1.39,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.10
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  93.12,AZ= 13.63,PGA(V)=   1.10,PGA(NS)=   2.88,PGA(EW)=   3.78,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.09
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  95.18,AZ=321.07,PGA(V)=   0.64,PGA(NS)=   1.08,PGA(EW)=   1.07,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.09
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  95.87,AZ= 15.07,PGA(V)=   1.31,PGA(NS)=   1.69,PGA(EW)=   1.92,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.10
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  96.69,AZ=258.73,PGA(V)=   2.19,PGA(NS)=   3.81,PGA(EW)=   4.58,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   5.68,PGV(SUM)=   0.32
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  97.68,AZ=299.44,PGA(V)=   1.32,PGA(NS)=   2.14,PGA(EW)=   2.34,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.57,PGV(SUM)=   0.17
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  98.60,AZ=274.85,PGA(V)=   1.49,PGA(NS)=   4.37,PGA(EW)=   6.13,PGV(V)=   0.11,PGV(NS)=   0.30,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   6.32,PGV(SUM)=   0.43
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  99.18,AZ=207.90,PGA(V)=   0.64,PGA(NS)=   1.11,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.09
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 101.51,AZ=246.51,PGA(V)=   0.83,PGA(NS)=   1.25,PGA(EW)=   1.84,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.15
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 102.14,AZ=276.58,PGA(V)=   1.75,PGA(NS)=   3.55,PGA(EW)=   4.63,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   4.64,PGV(SUM)=   0.36
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist= 102.49,AZ=202.21,PGA(V)=   0.56,PGA(NS)=   1.01,PGA(EW)=   1.16,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.15
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist= 103.85,AZ=183.62,PGA(V)=   1.00,PGA(NS)=   1.52,PGA(EW)=   1.38,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.10
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 104.64,AZ=291.82,PGA(V)=   3.95,PGA(NS)=   3.84,PGA(EW)=   5.89,PGV(V)=   0.14,PGV(NS)=   0.32,PGV(EW)=   0.40,Int= 2¯Å,PGA(SUM)=   6.01,PGV(SUM)=   0.42
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 104.93,AZ=304.49,PGA(V)=   0.88,PGA(NS)=   2.08,PGA(EW)=   2.46,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   2.41,PGV(SUM)=   0.19
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 108.43,AZ=265.47,PGA(V)=   2.10,PGA(NS)=   3.40,PGA(EW)=   4.88,PGV(V)=   0.14,PGV(NS)=   0.23,PGV(EW)=   0.37,Int= 2¯Å,PGA(SUM)=   5.08,PGV(SUM)=   0.38
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 112.15,AZ=297.68,PGA(V)=   4.67,PGA(NS)=  11.98,PGA(EW)=  11.99,PGV(V)=   0.21,PGV(NS)=   0.35,PGV(EW)=   0.45,Int= 3¯Å,PGA(SUM)=  11.77,PGV(SUM)=   0.45
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist= 112.27,AZ=250.14,PGA(V)=   0.64,PGA(NS)=   0.82,PGA(EW)=   1.02,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.12
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist= 112.47,AZ=316.56,PGA(V)=   0.93,PGA(NS)=   2.30,PGA(EW)=   2.58,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.75,PGV(SUM)=   0.15
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 112.77,AZ=238.72,PGA(V)=   0.70,PGA(NS)=   1.63,PGA(EW)=   1.78,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.18
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist= 112.93,AZ=245.42,PGA(V)=   0.96,PGA(NS)=   1.45,PGA(EW)=   1.64,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.15
