Origin Time:2024/04/22 00:35:52
Lon:121.67¢XE
Lat:24.19¢XN
Depth:32.2km
Mag:5.4
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist=  75.11,BAZ=171.32,PGA(V)=   1.04,PGA(NS)=   1.27,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.07
Stacode=EGS ,Staname=Àt¤s®q,Stalon=121.94,Stalat=24.84,Dist=  77.26,BAZ=201.42,PGA(V)=   0.50,PGA(NS)=   0.56,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.04
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  78.08,BAZ= 78.82,PGA(V)=   0.77,PGA(NS)=   1.87,PGA(EW)=   1.45,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.09
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  81.53,BAZ=142.47,PGA(V)=   1.59,PGA(NS)=   2.23,PGA(EW)=   2.10,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.44,PGV(SUM)=   0.18
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  82.27,BAZ=125.97,PGA(V)=   0.79,PGA(NS)=   2.02,PGA(EW)=   1.43,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.43,PGV(SUM)=   0.22
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  82.79,BAZ=127.35,PGA(V)=   1.02,PGA(NS)=   2.26,PGA(EW)=   2.00,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.17
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  83.66,BAZ= 24.10,PGA(V)=   1.61,PGA(NS)=   3.80,PGA(EW)=   3.94,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.12
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  83.86,BAZ=135.75,PGA(V)=   3.39,PGA(NS)=   2.84,PGA(EW)=   2.74,PGV(V)=   0.16,PGV(NS)=   0.22,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.09,PGV(SUM)=   0.28
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  84.41,BAZ= 65.83,PGA(V)=   0.98,PGA(NS)=   2.19,PGA(EW)=   2.79,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   2.81,PGV(SUM)=   0.22
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist=  85.61,BAZ=153.36,PGA(V)=   0.87,PGA(NS)=   1.88,PGA(EW)=   1.67,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.13
