Origin Time:2024/04/06 23:53:11
Lon:121.85°E
Lat:24.20°N
Depth:22.1km
Mag:5.1
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist=  98.87,BAZ=157.42,PGA(V)=   0.88,PGA(NS)=   1.45,PGA(EW)=   1.37,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.14
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist=  99.33,BAZ=159.98,PGA(V)=   0.95,PGA(NS)=   0.61,PGA(EW)=   0.60,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.08
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist=  99.91,BAZ=167.75,PGA(V)=   1.00,PGA(NS)=   2.39,PGA(EW)=   2.13,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.13
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 105.21,BAZ=147.90,PGA(V)=   0.89,PGA(NS)=   1.62,PGA(EW)=   2.60,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.91,PGV(SUM)=   0.17
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist= 105.44,BAZ= 22.66,PGA(V)=   0.48,PGA(NS)=   1.04,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.14
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 106.21,BAZ=127.49,PGA(V)=   0.77,PGA(NS)=   1.16,PGA(EW)=   0.69,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.14
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 108.72,BAZ=141.87,PGA(V)=   0.49,PGA(NS)=   0.93,PGA(EW)=   0.49,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.09
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 109.95,BAZ=129.64,PGA(V)=   0.64,PGA(NS)=   1.47,PGA(EW)=   2.19,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.20
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 113.09,BAZ=118.59,PGA(V)=   0.39,PGA(NS)=   1.39,PGA(EW)=   1.10,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.15
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 114.77,BAZ=159.32,PGA(V)=   0.46,PGA(NS)=   1.53,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.08
