Origin Time:2024/04/03 08:50:46
Lon:121.57¢XE
Lat:23.83¢XN
Depth:20.5km
Mag:5.5
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  90.44,BAZ= 38.15,PGA(V)=   1.79,PGA(NS)=   2.79,PGA(EW)=   2.86,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.35,PGV(SUM)=   0.13
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  91.08,BAZ=198.72,PGA(V)=   0.85,PGA(NS)=   1.07,PGA(EW)=   1.45,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.06
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  91.25,BAZ= 95.42,PGA(V)=   1.85,PGA(NS)=   1.85,PGA(EW)=   1.36,PGV(V)=   0.13,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.16
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  91.90,BAZ=104.85,PGA(V)=   1.51,PGA(NS)=   2.74,PGA(EW)=   2.22,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.87,PGV(SUM)=   0.19
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  94.83,BAZ= 74.27,PGA(V)=   1.55,PGA(NS)=   3.53,PGA(EW)=   4.87,PGV(V)=   0.12,PGV(NS)=   0.37,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   4.89,PGV(SUM)=   0.39
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  95.82,BAZ=167.42,PGA(V)=   0.53,PGA(NS)=   0.95,PGA(EW)=   1.06,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.06
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  96.91,BAZ=111.19,PGA(V)=   1.05,PGA(NS)=   1.29,PGA(EW)=   1.50,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.15
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  98.76,BAZ=125.45,PGA(V)=   1.13,PGA(NS)=   1.67,PGA(EW)=   1.48,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.12
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  98.77,BAZ= 16.11,PGA(V)=   3.48,PGA(NS)=  10.16,PGA(EW)=   6.89,PGV(V)=   0.18,PGV(NS)=   0.52,PGV(EW)=   0.28,Int= 3¯Å,PGA(SUM)=   9.61,PGV(SUM)=   0.52
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  99.08,BAZ=186.52,PGA(V)=   0.59,PGA(NS)=   0.94,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.13
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 100.15,BAZ=152.57,PGA(V)=   0.62,PGA(NS)=   0.90,PGA(EW)=   1.42,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.07
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 102.07,BAZ= 98.18,PGA(V)=   1.76,PGA(NS)=   1.96,PGA(EW)=   2.38,PGV(V)=   0.12,PGV(NS)=   0.17,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   2.88,PGV(SUM)=   0.25
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 103.37,BAZ= 81.07,PGA(V)=   1.70,PGA(NS)=   3.95,PGA(EW)=   3.88,PGV(V)=   0.13,PGV(NS)=   0.31,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   4.28,PGV(SUM)=   0.40
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 104.17,BAZ=128.47,PGA(V)=   1.44,PGA(NS)=   0.98,PGA(EW)=   0.92,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.09
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist= 105.17,BAZ=190.24,PGA(V)=   0.71,PGA(NS)=   1.24,PGA(EW)=   1.37,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.15
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 105.50,BAZ=147.16,PGA(V)=   0.48,PGA(NS)=   0.95,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.10
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 106.11,BAZ= 83.14,PGA(V)=   1.69,PGA(NS)=   4.28,PGA(EW)=   3.15,PGV(V)=   0.13,PGV(NS)=   0.34,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   4.08,PGV(SUM)=   0.39
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 106.70,BAZ=148.06,PGA(V)=   0.50,PGA(NS)=   1.43,PGA(EW)=   1.08,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.07
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 106.85,BAZ=105.03,PGA(V)=   2.30,PGA(NS)=   4.59,PGA(EW)=   5.98,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   5.08,PGV(SUM)=   0.21
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 107.77,BAZ= 66.33,PGA(V)=   2.24,PGA(NS)=   5.94,PGA(EW)=   4.94,PGV(V)=   0.14,PGV(NS)=   0.32,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   6.29,PGV(SUM)=   0.33
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 108.21,BAZ= 48.30,PGA(V)=   1.07,PGA(NS)=   1.80,PGA(EW)=   1.66,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.97,PGV(SUM)=   0.12
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 110.74,BAZ= 87.68,PGA(V)=   1.26,PGA(NS)=   2.21,PGA(EW)=   2.51,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   2.42,PGV(SUM)=   0.30
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 110.79,BAZ=121.22,PGA(V)=   0.76,PGA(NS)=   1.21,PGA(EW)=   1.07,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.17
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 111.29,BAZ=137.06,PGA(V)=   0.56,PGA(NS)=   0.84,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.07
