Origin Time:2023/07/07 02:03:56
Lon:121.18¢XE
Lat:23.13¢XN
Depth:11.0km
Mag:4.9
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  97.69,BAZ=111.48,PGA(V)=   0.45,PGA(NS)=   2.03,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.18,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.19
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  99.82,BAZ=149.07,PGA(V)=   1.02,PGA(NS)=   0.53,PGA(EW)=   0.57,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.04
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 100.53,BAZ= 92.54,PGA(V)=   0.38,PGA(NS)=   1.36,PGA(EW)=   1.19,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.09
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 101.03,BAZ=103.52,PGA(V)=   0.49,PGA(NS)=   1.18,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.08
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=22.99,Dist= 101.41,BAZ= 81.15,PGA(V)=   1.36,PGA(NS)=   1.74,PGA(EW)=   2.03,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.11,PGV(SUM)=   0.14
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 101.70,BAZ=127.07,PGA(V)=   0.60,PGA(NS)=   1.57,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.14
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 106.71,BAZ=113.79,PGA(V)=   0.27,PGA(NS)=   1.80,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.16,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.95,PGV(SUM)=   0.17
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist= 109.07,BAZ= 60.01,PGA(V)=   0.29,PGA(NS)=   0.63,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.07
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 112.16,BAZ=119.73,PGA(V)=   0.41,PGA(NS)=   1.02,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.13
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist= 112.17,BAZ=184.69,PGA(V)=   0.30,PGA(NS)=   0.65,PGA(EW)=   1.12,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.05
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 112.26,BAZ= 90.71,PGA(V)=   0.48,PGA(NS)=   1.87,PGA(EW)=   1.99,PGV(V)=   0.02,PGV(NS)=   0.22,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.22
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 122.96,BAZ=127.14,PGA(V)=   0.52,PGA(NS)=   1.25,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.09
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 127.43,BAZ=342.37,PGA(V)=   0.28,PGA(NS)=   0.90,PGA(EW)=   0.74,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.04
