Origin Time:2024/04/07 05:15:10
Lon:121.72°E
Lat:24.04°N
Depth:21.5km
Mag:5.2
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 115.11,BAZ=175.86,PGA(V)=   0.46,PGA(NS)=   1.51,PGA(EW)=   1.63,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 116.56,BAZ= 85.67,PGA(V)=   0.97,PGA(NS)=   1.67,PGA(EW)=   1.85,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.17
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 116.56,BAZ= 26.14,PGA(V)=   0.42,PGA(NS)=   0.53,PGA(EW)=   0.82,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.07
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 117.26,BAZ= 65.28,PGA(V)=   0.59,PGA(NS)=   1.64,PGA(EW)=   1.42,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.12
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 118.47,BAZ= 92.12,PGA(V)=   1.12,PGA(NS)=   2.47,PGA(EW)=   2.85,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.12
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 123.77,BAZ= 71.45,PGA(V)=   0.58,PGA(NS)=   1.65,PGA(EW)=   1.36,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.11
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 125.71,BAZ= 19.87,PGA(V)=   0.56,PGA(NS)=   1.41,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.06
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 125.82,BAZ= 73.37,PGA(V)=   0.75,PGA(NS)=   1.51,PGA(EW)=   1.58,PGV(V)=   0.03,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.18
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 128.88,BAZ= 77.54,PGA(V)=   0.68,PGA(NS)=   1.81,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.13
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 131.41,BAZ= 90.73,PGA(V)=   0.97,PGA(NS)=   1.33,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.09
