Origin Time:2024/04/23 03:28:32
Lon:121.54°E
Lat:23.80°N
Depth:5.4km
Mag:5.1
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  98.74,BAZ=170.02,PGA(V)=   0.36,PGA(NS)=   0.72,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  98.98,BAZ=100.63,PGA(V)=   0.73,PGA(NS)=   1.15,PGA(EW)=   0.97,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.18
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  99.13,BAZ= 82.86,PGA(V)=   0.78,PGA(NS)=   2.57,PGA(EW)=   1.81,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.22
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 101.98,BAZ= 84.97,PGA(V)=   0.63,PGA(NS)=   2.70,PGA(EW)=   2.18,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.80,PGV(SUM)=   0.24
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 102.85,BAZ= 67.39,PGA(V)=   0.52,PGA(NS)=   2.03,PGA(EW)=   1.71,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.14
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 103.26,BAZ=188.35,PGA(V)=   0.30,PGA(NS)=   0.59,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.08
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 104.29,BAZ=107.54,PGA(V)=   0.91,PGA(NS)=   1.74,PGA(EW)=   1.77,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.89,PGV(SUM)=   0.13
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 106.72,BAZ=149.94,PGA(V)=   0.38,PGA(NS)=   0.88,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.11
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 106.89,BAZ= 89.60,PGA(V)=   0.44,PGA(NS)=   1.23,PGA(EW)=   1.01,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.16
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 111.46,BAZ= 56.75,PGA(V)=   0.24,PGA(NS)=   0.81,PGA(EW)=   0.43,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.08
