Origin Time:2024/04/05 12:50:51
Lon:121.70¢XE
Lat:24.12¢XN
Depth:18.0km
Mag:5.5
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 117.72,BAZ= 16.30,PGA(V)=   1.03,PGA(NS)=   2.69,PGA(EW)=   2.33,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.06,PGV(SUM)=   0.16
Stacode=NHW ,Staname=·s«Î  ,Stalon=121.05,Stalat=25.01,Dist= 118.38,BAZ=146.25,PGA(V)=   0.37,PGA(NS)=   1.60,PGA(EW)=   1.23,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.20
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 118.44,BAZ= 25.01,PGA(V)=   1.08,PGA(NS)=   1.73,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.09
Stacode=NTS ,Staname=²H¤ô  ,Stalon=121.45,Stalat=25.16,Dist= 118.58,BAZ=167.80,PGA(V)=   0.66,PGA(NS)=   1.73,PGA(EW)=   1.27,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.17
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 118.82,BAZ= 60.96,PGA(V)=   1.44,PGA(NS)=   3.37,PGA(EW)=   3.49,PGV(V)=   0.10,PGV(NS)=   0.27,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   3.78,PGV(SUM)=   0.31
Stacode=NWR ,Staname=¸U¨½  ,Stalon=121.66,Stalat=25.20,Dist= 120.14,BAZ=178.25,PGA(V)=   0.35,PGA(NS)=   1.27,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.06
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 120.20,BAZ= 97.34,PGA(V)=   0.91,PGA(NS)=   1.15,PGA(EW)=   0.98,PGV(V)=   0.17,PGV(NS)=   0.23,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.26
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 123.32,BAZ= 23.28,PGA(V)=   0.73,PGA(NS)=   1.40,PGA(EW)=   1.43,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.15
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 123.79,BAZ= 33.61,PGA(V)=   0.78,PGA(NS)=   1.63,PGA(EW)=   1.39,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.07
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 124.35,BAZ= 67.28,PGA(V)=   1.31,PGA(NS)=   2.46,PGA(EW)=   1.91,PGV(V)=   0.12,PGV(NS)=   0.28,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   2.39,PGV(SUM)=   0.30
