Origin Time:2018/12/12 21:24:23
Lon:121.52°E
Lat:23.91°N
Depth:12.4km
Mag:5.0
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  96.20,AZ= 93.58,PGA(V)=   0.78,PGA(NS)=   1.26,PGA(EW)=   1.52
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  97.89,AZ=193.98,PGA(V)=   0.39,PGA(NS)=   0.95,PGA(EW)=   0.67
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 100.17,AZ= 75.81,PGA(V)=   0.81,PGA(NS)=   1.60,PGA(EW)=   2.55
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 101.95,AZ=154.33,PGA(V)=   0.53,PGA(NS)=   1.37,PGA(EW)=   1.28
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 102.06,AZ=133.22,PGA(V)=   1.33,PGA(NS)=   1.79,PGA(EW)=   2.01
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 105.80,AZ= 12.23,PGA(V)=   0.59,PGA(NS)=   2.00,PGA(EW)=   1.45
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 107.06,AZ= 61.07,PGA(V)=   0.62,PGA(NS)=   2.45,PGA(EW)=   1.82
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 108.67,AZ=142.41,PGA(V)=   0.44,PGA(NS)=   0.91,PGA(EW)=   0.77
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 114.44,AZ=153.18,PGA(V)=   0.62,PGA(NS)=   0.61,PGA(EW)=   0.85
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 114.70,AZ= 68.81,PGA(V)=   1.39,PGA(NS)=   2.17,PGA(EW)=   1.86
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 116.60,AZ= 89.81,PGA(V)=   0.67,PGA(NS)=   2.06,PGA(EW)=   1.35
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 118.13,AZ= 78.18,PGA(V)=   0.54,PGA(NS)=   4.01,PGA(EW)=   2.58
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 120.14,AZ= 67.80,PGA(V)=   0.40,PGA(NS)=   2.38,PGA(EW)=   1.97
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 121.16,AZ=176.09,PGA(V)=   0.61,PGA(NS)=   0.89,PGA(EW)=   0.89
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 122.17,AZ=164.16,PGA(V)=   0.36,PGA(NS)=   0.92,PGA(EW)=   0.71
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 125.77,AZ= 87.76,PGA(V)=   0.34,PGA(NS)=   1.06,PGA(EW)=   1.19
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 135.18,AZ= 77.23,PGA(V)=   0.54,PGA(NS)=   1.57,PGA(EW)=   1.84
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 138.76,AZ= 72.17,PGA(V)=   0.49,PGA(NS)=   1.64,PGA(EW)=   0.97
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 139.57,AZ=176.92,PGA(V)=   0.60,PGA(NS)=   0.88,PGA(EW)=   0.70
Stacode=ICHU,Staname=義竹  ,Stalon=120.28,Stalat=23.36,Dist= 140.57,AZ= 64.54,PGA(V)=   0.41,PGA(NS)=   1.26,PGA(EW)=   1.41
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 154.42,AZ= 42.95,PGA(V)=   0.51,PGA(NS)=   0.83,PGA(EW)=   0.59
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 157.45,AZ= 58.98,PGA(V)=   0.16,PGA(NS)=   1.13,PGA(EW)=   1.11
