Origin Time:2024/04/03 09:17:43
Lon:121.67¢XE
Lat:24.04¢XN
Depth:35.7km
Mag:5.2
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist= 101.07,BAZ=157.34,PGA(V)=   0.76,PGA(NS)=   1.77,PGA(EW)=   1.71,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.10
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 101.21,BAZ= 79.56,PGA(V)=   0.68,PGA(NS)=   1.24,PGA(EW)=   1.45,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.06
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 101.88,BAZ= 81.56,PGA(V)=   1.03,PGA(NS)=   1.26,PGA(EW)=   1.20,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.08
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 102.68,BAZ=171.75,PGA(V)=   0.65,PGA(NS)=   1.43,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.06
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 103.46,BAZ=124.03,PGA(V)=   0.81,PGA(NS)=   1.10,PGA(EW)=   1.29,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.09
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 105.02,BAZ=140.96,PGA(V)=   0.60,PGA(NS)=   0.76,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 105.47,BAZ= 55.91,PGA(V)=   0.40,PGA(NS)=   0.71,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.07
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 107.88,BAZ=131.19,PGA(V)=   0.78,PGA(NS)=   1.62,PGA(EW)=   1.56,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.14
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 108.90,BAZ= 16.19,PGA(V)=   0.60,PGA(NS)=   1.90,PGA(EW)=   2.07,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.43,PGV(SUM)=   0.06
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 109.59,BAZ=142.61,PGA(V)=   0.58,PGA(NS)=   1.34,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.12
