Origin Time:2024/04/10 17:09:45
Lon:121.61°E
Lat:23.90°N
Depth:11.9km
Mag:4.6
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist= 116.68,BAZ= 46.64,PGA(V)=   0.46,PGA(NS)=   0.68,PGA(EW)=   1.00,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.03
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 121.43,BAZ= 98.00,PGA(V)=   1.49,PGA(NS)=   2.60,PGA(EW)=   1.56,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.09
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 123.04,BAZ= 70.50,PGA(V)=   0.86,PGA(NS)=   1.35,PGA(EW)=   1.13,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.05
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 125.63,BAZ= 90.00,PGA(V)=   2.00,PGA(NS)=   2.73,PGA(EW)=   2.57,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.11
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 126.92,BAZ= 79.18,PGA(V)=   1.15,PGA(NS)=   2.68,PGA(EW)=   2.82,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.75,PGV(SUM)=   0.08
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 128.42,BAZ= 69.49,PGA(V)=   0.56,PGA(NS)=   1.16,PGA(EW)=   1.25,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.05
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 134.78,BAZ= 88.07,PGA(V)=   0.96,PGA(NS)=   2.32,PGA(EW)=   1.79,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.06
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 136.53,BAZ= 63.50,PGA(V)=   1.01,PGA(NS)=   0.94,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.04
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist= 140.99,BAZ= 44.41,PGA(V)=   0.23,PGA(NS)=   0.80,PGA(EW)=   0.49,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 141.87,BAZ= 85.60,PGA(V)=   1.73,PGA(NS)=   1.58,PGA(EW)=   1.98,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.04,PGV(SUM)=   0.07
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 143.21,BAZ= 69.84,PGA(V)=   1.04,PGA(NS)=   1.33,PGA(EW)=   1.65,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.04
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 143.93,BAZ= 78.17,PGA(V)=   1.70,PGA(NS)=   2.84,PGA(EW)=   2.21,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.07
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 147.28,BAZ= 73.39,PGA(V)=   0.58,PGA(NS)=   1.00,PGA(EW)=   0.94,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.05
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 160.47,BAZ= 45.41,PGA(V)=   0.51,PGA(NS)=   0.91,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.05
