Origin Time:2021/07/14 06:59:24
Lon:121.63°E
Lat:23.93°N
Depth:7.1km
Mag:5.0
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 104.96,AZ=153.79,PGA(V)=   0.27,PGA(NS)=   0.68,PGA(EW)=   0.66,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 107.22,AZ= 92.02,PGA(V)=   0.73,PGA(NS)=   1.02,PGA(EW)=   1.06,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.12
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 109.03,AZ=128.36,PGA(V)=   0.66,PGA(NS)=   1.01,PGA(EW)=   0.84,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.09
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 110.85,AZ= 17.65,PGA(V)=   0.31,PGA(NS)=   1.12,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 111.53,AZ= 76.10,PGA(V)=   0.66,PGA(NS)=   1.58,PGA(EW)=   1.70,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.20
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 111.66,AZ= 98.30,PGA(V)=   0.60,PGA(NS)=   1.04,PGA(EW)=   0.86,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.12
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 113.92,AZ= 78.13,PGA(V)=   0.51,PGA(NS)=   2.08,PGA(EW)=   1.36,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.23
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 117.96,AZ= 62.74,PGA(V)=   0.43,PGA(NS)=   1.14,PGA(EW)=   1.30,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.13
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 125.92,AZ= 69.70,PGA(V)=   0.54,PGA(NS)=   0.94,PGA(EW)=   0.96,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.09
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 127.77,AZ= 88.82,PGA(V)=   0.61,PGA(NS)=   1.14,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.08
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 129.50,AZ= 78.22,PGA(V)=   0.37,PGA(NS)=   1.58,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.17
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 131.33,AZ= 68.74,PGA(V)=   0.31,PGA(NS)=   0.99,PGA(EW)=   1.03,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.12
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 137.00,AZ= 87.00,PGA(V)=   0.31,PGA(NS)=   0.94,PGA(EW)=   0.67,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.11
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 146.54,AZ= 77.34,PGA(V)=   0.33,PGA(NS)=   0.85,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.09
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 150.07,AZ= 72.66,PGA(V)=   0.21,PGA(NS)=   0.72,PGA(EW)=   0.69,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.11
