Origin Time:2023/07/10 06:11:33
Lon:121.51°E
Lat:24.05°N
Depth:20.1km
Mag:5.3
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  87.31,BAZ=156.87,PGA(V)=   1.15,PGA(NS)=   3.23,PGA(EW)=   3.95,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.43,PGV(SUM)=   0.16
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist=  89.98,BAZ=129.13,PGA(V)=   0.78,PGA(NS)=   1.34,PGA(EW)=   0.92,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.07
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  93.37,BAZ= 49.83,PGA(V)=   0.78,PGA(NS)=   1.44,PGA(EW)=   1.38,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.10
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  94.39,BAZ=199.89,PGA(V)=   0.65,PGA(NS)=   0.91,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.07
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  94.85,BAZ=148.02,PGA(V)=   0.98,PGA(NS)=   0.72,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.07
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  95.52,BAZ= 83.90,PGA(V)=   1.70,PGA(NS)=   3.43,PGA(EW)=   2.27,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   3.65,PGV(SUM)=   0.28
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  95.65,BAZ=136.99,PGA(V)=   0.97,PGA(NS)=   1.59,PGA(EW)=   3.18,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.14,PGV(SUM)=   0.13
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  97.13,BAZ= 13.34,PGA(V)=   1.20,PGA(NS)=   2.54,PGA(EW)=   2.21,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.88,PGV(SUM)=   0.11
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  97.19,BAZ= 91.79,PGA(V)=   1.47,PGA(NS)=   4.18,PGA(EW)=   4.03,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.33,PGV(SUM)=   0.18
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  99.01,BAZ= 59.41,PGA(V)=   1.02,PGA(NS)=   2.66,PGA(EW)=   3.41,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   3.57,PGV(SUM)=   0.28
