Origin Time:2024/11/16 15:01:40
Lon:120.20¢XE
Lat:23.18¢XN
Depth:12.9km
Mag:4.8
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  69.30,BAZ=319.34,PGA(V)=   0.33,PGA(NS)=   0.88,PGA(EW)=   0.77,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.03
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  72.12,BAZ=239.71,PGA(V)=   0.32,PGA(NS)=   0.90,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.04
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist=  73.32,BAZ=203.12,PGA(V)=   1.35,PGA(NS)=   3.93,PGA(EW)=   2.04,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.66,PGV(SUM)=   0.12
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  75.99,BAZ=186.55,PGA(V)=   0.80,PGA(NS)=   1.54,PGA(EW)=   1.61,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.06
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  81.97,BAZ=192.50,PGA(V)=   1.64,PGA(NS)=   3.08,PGA(EW)=   2.02,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.76,PGV(SUM)=   0.08
Stacode=D033,Staname=ªF´ä  ,Stalon=120.46,Stalat=22.46,Dist=  83.73,BAZ=341.69,PGA(V)=   0.51,PGA(NS)=   0.91,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.06
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  84.38,BAZ=246.21,PGA(V)=   0.31,PGA(NS)=   0.72,PGA(EW)=   0.99,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.05
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  85.69,BAZ=334.17,PGA(V)=   0.25,PGA(NS)=   0.63,PGA(EW)=   1.15,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.16
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  87.53,BAZ=229.23,PGA(V)=   0.43,PGA(NS)=   1.30,PGA(EW)=   0.79,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.05
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  88.95,BAZ=216.95,PGA(V)=   0.43,PGA(NS)=   1.25,PGA(EW)=   0.98,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.25,PGV(SUM)=   0.06
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  91.85,BAZ=212.87,PGA(V)=   0.44,PGA(NS)=   1.08,PGA(EW)=   0.98,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  94.56,BAZ=203.92,PGA(V)=   1.00,PGA(NS)=   1.31,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.08
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  99.63,BAZ=193.38,PGA(V)=   0.87,PGA(NS)=   1.44,PGA(EW)=   1.43,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.06
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 105.96,BAZ=199.92,PGA(V)=   1.41,PGA(NS)=   2.74,PGA(EW)=   3.16,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.81,PGV(SUM)=   0.09
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 108.01,BAZ=207.89,PGA(V)=   0.94,PGA(NS)=   2.31,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.09
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist= 110.86,BAZ=322.85,PGA(V)=   0.23,PGA(NS)=   0.53,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.05
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 136.76,BAZ=198.96,PGA(V)=   0.29,PGA(NS)=   0.92,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.05
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 179.80,BAZ=202.15,PGA(V)=   0.38,PGA(NS)=   1.14,PGA(EW)=   0.51,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.04
