Origin Time:2021/06/11 15:33:26
Lon:121.53°E
Lat:23.89°N
Depth:10.6km
Mag:5.4
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  86.59,AZ= 91.21,PGA(V)=   0.93,PGA(NS)=   1.15,PGA(EW)=   0.98,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.17
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  88.32,AZ=169.16,PGA(V)=   1.07,PGA(NS)=   1.57,PGA(EW)=   2.75,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.79,PGV(SUM)=   0.19
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  88.53,AZ= 21.94,PGA(V)=   0.90,PGA(NS)=   1.58,PGA(EW)=   1.04,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.16
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  89.22,AZ= 10.35,PGA(V)=   1.08,PGA(NS)=   2.11,PGA(EW)=   1.86,PGV(V)=   0.10,PGV(NS)=   0.14,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.53,PGV(SUM)=   0.20
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  90.58,AZ=108.19,PGA(V)=   0.66,PGA(NS)=   0.88,PGA(EW)=   1.88,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.89,PGV(SUM)=   0.19
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  92.19,AZ=152.99,PGA(V)=   0.43,PGA(NS)=   0.66,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  92.98,AZ=189.61,PGA(V)=   0.82,PGA(NS)=   2.02,PGA(EW)=   2.59,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.19
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  93.40,AZ= 33.50,PGA(V)=   0.99,PGA(NS)=   1.18,PGA(EW)=   1.17,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.08
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  93.59,AZ= 19.82,PGA(V)=   1.02,PGA(NS)=   2.27,PGA(EW)=   1.99,PGV(V)=   0.17,PGV(NS)=   0.27,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.41
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  96.64,AZ=126.91,PGA(V)=   0.82,PGA(NS)=   0.88,PGA(EW)=   0.79,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.14
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  97.01,AZ= 94.59,PGA(V)=   1.14,PGA(NS)=   2.08,PGA(EW)=   2.34,PGV(V)=   0.09,PGV(NS)=   0.35,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.35
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  97.50,AZ=147.12,PGA(V)=   0.44,PGA(NS)=   0.85,PGA(EW)=   1.02,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.08
Stacode=NWL ,Staname=烏來  ,Stalon=121.50,Stalat=24.78,Dist=  98.27,AZ=178.37,PGA(V)=   0.59,PGA(NS)=   1.11,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.06
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  98.71,AZ=148.10,PGA(V)=   0.54,PGA(NS)=   1.05,PGA(EW)=   0.75,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.09
