Origin Time:2024/04/03 09:07:16
Lon:121.70°E
Lat:24.05°N
Depth:21.8km
Mag:5.0
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 101.54,BAZ=155.52,PGA(V)=   0.45,PGA(NS)=   0.95,PGA(EW)=   0.84,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.05
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 101.91,BAZ= 89.51,PGA(V)=   0.70,PGA(NS)=   1.14,PGA(EW)=   1.51,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.12
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 102.27,BAZ= 75.71,PGA(V)=   0.38,PGA(NS)=   1.30,PGA(EW)=   0.60,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.06
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 102.34,BAZ=169.94,PGA(V)=   0.43,PGA(NS)=   1.05,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.07
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 103.02,BAZ= 23.81,PGA(V)=   0.24,PGA(NS)=   0.83,PGA(EW)=   0.60,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.04
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 104.46,BAZ= 79.42,PGA(V)=   0.73,PGA(NS)=   1.06,PGA(EW)=   0.81,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.08
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 105.12,BAZ= 81.35,PGA(V)=   0.86,PGA(NS)=   0.93,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.07
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 105.61,BAZ=122.69,PGA(V)=   0.35,PGA(NS)=   0.82,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.06
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 109.72,BAZ=129.78,PGA(V)=   0.71,PGA(NS)=   1.15,PGA(EW)=   1.59,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.06
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 109.80,BAZ=167.92,PGA(V)=   0.56,PGA(NS)=   0.79,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.07
