Origin Time:2025/01/12 04:27:09
Lon:121.46°E
Lat:23.80°N
Depth:11.3km
Mag:5.0
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  78.60,BAZ=204.13,PGA(V)=   0.79,PGA(NS)=   1.02,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  78.89,BAZ= 96.39,PGA(V)=   0.46,PGA(NS)=   0.57,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.06
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  80.57,BAZ= 98.68,PGA(V)=   0.72,PGA(NS)=   0.56,PGA(EW)=   0.56,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.05
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  80.99,BAZ= 33.45,PGA(V)=   1.09,PGA(NS)=   1.62,PGA(EW)=   1.25,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.85,PGV(SUM)=   0.08
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  81.63,BAZ= 17.70,PGA(V)=   0.62,PGA(NS)=   0.95,PGA(EW)=   0.96,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.08
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  82.23,BAZ=109.24,PGA(V)=   0.46,PGA(NS)=   0.88,PGA(EW)=   1.16,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.09
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  83.09,BAZ= 74.53,PGA(V)=   0.68,PGA(NS)=   1.59,PGA(EW)=   2.50,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.23
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  91.64,BAZ=101.37,PGA(V)=   0.55,PGA(NS)=   1.02,PGA(EW)=   1.12,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.13
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  91.77,BAZ= 82.17,PGA(V)=   0.79,PGA(NS)=   1.27,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.13
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  92.19,BAZ=131.28,PGA(V)=   0.42,PGA(NS)=   0.79,PGA(EW)=   0.68,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.06
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  92.77,BAZ= 10.04,PGA(V)=   0.68,PGA(NS)=   1.77,PGA(EW)=   2.21,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.25,PGV(SUM)=   0.11
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  93.78,BAZ=186.94,PGA(V)=   0.28,PGA(NS)=   0.88,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.05
